-1.14137297496200e-02 1.53607761859894e+00 1.43780028820038e+00 1.50943458080292e+00 1.46479082107544e+00 1.43973159790039e+00 1.54020977020264e+00 1.43391406536102e+00 1.48769283294678e+00 1.46577072143555e+00 
1.26093847211450e-03 -5.11549425125122e+00 1.89077591896057e+00 2.51370277255774e-02 1.85514101758599e-03 2.50657964497805e-02 1.82094264030457e+00 1.96959776803851e-03 4.09285567002371e-04 4.21261589508504e-04 
1.34058913681656e-03 1.75112569332123e+00 -5.22142791748047e+00 1.77734625339508e+00 3.77308111637831e-04 1.80823286063969e-03 2.30659302324057e-02 2.47428715229034e-02 1.80004932917655e-03 3.92381654819474e-04 
1.24085368588567e-03 2.41148807108402e-02 1.84105181694031e+00 -5.05822229385376e+00 3.87549283914268e-04 4.03338868636638e-04 1.77989492658526e-03 1.91010618209839e+00 2.40617524832487e-02 1.89582654275000e-03 
1.22777104843408e-03 1.81578681804240e-03 3.98755655623972e-04 3.95406386815012e-04 -5.04749441146851e+00 1.82030856609344e+00 2.37993840128183e-02 1.92012707702816e-03 2.43993531912565e-02 1.87852919101715e+00 
1.28951761871576e-03 2.35350262373686e-02 1.83320196811110e-03 3.94759117625654e-04 1.74618494510651e+00 -5.15615749359131e+00 1.77317500114441e+00 4.10913227824494e-04 1.79132225457579e-03 2.46468391269445e-02 
1.37338996864855e-03 1.77635025978088e+00 2.42955107241869e-02 1.80990365333855e-03 2.37197503447533e-02 1.84225893020630e+00 -5.18549060821533e+00 4.10590175306424e-04 3.90546483686194e-04 1.86600012239069e-03 
1.22492655646056e-03 1.69983191881329e-03 2.30569243431091e-02 1.71836245059967e+00 1.69305258896202e-03 3.77698626834899e-04 3.63249244401231e-04 -5.25599861145020e+00 1.71039295196533e+00 2.35264692455530e-02 
1.24766828957945e-03 3.83539678296074e-04 1.82134006172419e-03 2.35039014369249e-02 2.33600791543722e-02 1.78782246075571e-03 3.75166710000485e-04 1.85716879367828e+00 -5.05385160446167e+00 1.81643521785736e+00 
1.20807474013418e-03 3.91823705285788e-04 3.94067144952714e-04 1.83808803558350e-03 1.78512573242188e+00 2.44155675172806e-02 1.77917291875929e-03 2.53552030771971e-02 1.80291330814362e+00 -5.21348381042480e+00 
